key,registrationMoment,passengerEmail,description,type,indicator,key:assistanceAgent,key:leg,draft-mode
claim-00,2015/07/02 0:00,acme@lorem-ipsum.org,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut",FLIGHT_ISSUES,PENDING,agent1,leg-00,false
# registrationMoment
claim-01,2001/01/01 0:00,acme@lorem-ipsum.org,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut",FLIGHT_ISSUES,PENDING,agent1,leg-00,true
claim-02,2000/01/01 0:01,acme@lorem-ipsum.org,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut",FLIGHT_ISSUES,PENDING,agent1,leg-00,false
claim-03,2024/12/31 23:59,acme@lorem-ipsum.org,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut",FLIGHT_ISSUES,PENDING,agent1,leg-00,false
claim-04,2025/01/01 0:00,acme@lorem-ipsum.org,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut",FLIGHT_ISSUES,PENDING,agent1,leg-00,false
# passengerEmail
claim-05,2012/07/02 0:00,a@b.e,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut",FLIGHT_ISSUES,PENDING,agent1,leg-00,false
claim-06,2012/07/02 0:00,a@b.es,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut",FLIGHT_ISSUES,PENDING,agent1,leg-00,false
claim-07,2012/07/02 0:00,a@b.esx,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut",FLIGHT_ISSUES,PENDING,agent1,leg-00,false
claim-08,2012/07/02 0:00,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.doloris.edu,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut",FLIGHT_ISSUES,PENDING,agent1,leg-00,false
claim-09,2012/07/02 0:00,ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.dolor.es.org,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut",FLIGHT_ISSUES,PENDING,agent1,leg-00,false
# description 
claim-10,2012/07/02 0:00,acme@lorem-ipsum.org,"L",FLIGHT_ISSUES,PENDING,agent1,leg-00,false
claim-11,2012/07/02 0:00,acme@lorem-ipsum.org,"Lo",FLIGHT_ISSUES,PENDING,agent1,leg-00,false
claim-12,2012/07/02 0:00,acme@lorem-ipsum.org,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor",FLIGHT_ISSUES,PENDING,agent1,leg-00,false
claim-13,2012/07/02 0:00,acme@lorem-ipsum.org,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*",FLIGHT_ISSUES,PENDING,agent1,leg-00,false
claim-14,2012/07/02 0:00,acme@lorem-ipsum.org,"โลเร็ม อิปซัม",FLIGHT_ISSUES,PENDING,agent1,leg-00,false
claim-15,2012/07/02 0:00,acme@lorem-ipsum.org,"لوريم إيبسوم",FLIGHT_ISSUES,PENDING,agent1,leg-00,false
claim-16,2012/07/02 0:00,acme@lorem-ipsum.org,"洛伦·伊普森",FLIGHT_ISSUES,PENDING,agent1,leg-00,false
claim-17,2012/07/02 0:00,acme@lorem-ipsum.org,"<marquee>Hacked</marquee>",FLIGHT_ISSUES,PENDING,agent1,leg-00,false
claim-18,2012/07/02 0:00,acme@lorem-ipsum.org,"<script>alert(‘Hacked!’);</script>",FLIGHT_ISSUES,PENDING,agent1,leg-00,false
claim-19,2012/07/02 0:00,acme@lorem-ipsum.org,"'' or 'A' = 'A ",FLIGHT_ISSUES,PENDING,agent1,leg-00,false
# claimTypes
claim-20,2012/07/02 0:00,acme@lorem-ipsum.org,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut",LUGGAGE_ISSUES,PENDING,agent1,leg-00,false
claim-21,2012/07/02 0:00,acme@lorem-ipsum.org,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut",SECURITY_INCIDENT,PENDING,agent1,leg-00,false
claim-22,2012/07/02 0:00,acme@lorem-ipsum.org,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut",OTHER_ISSUES,PENDING,agent1,leg-00,false
# indicator 
claim-23,2012/07/02 0:00,acme@lorem-ipsum.org,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut",FLIGHT_ISSUES,ACCEPTED,agent1,leg-00,false
claim-24,2012/07/02 0:00,acme@lorem-ipsum.org,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut",FLIGHT_ISSUES,REJECTED,agent1,leg-00,false
# draftMode 
claim-25,2012/07/02 0:00,acme@lorem-ipsum.org,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut",FLIGHT_ISSUES,PENDING,agent1,leg-00,true
# assistanceAgent 
claim-26,2012/07/02 0:00,acme@lorem-ipsum.org,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut",FLIGHT_ISSUES,PENDING,agent2,leg-00,false
claim-27,2024/12/01 0:00,acme@lorem-ipsum.org,"Testing publish case",FLIGHT_ISSUES,PENDING,agent1,leg-00,false
claim-28,2024/06/01 12:00,acme@lorem-ipsum.org,"Negative test claim",FLIGHT_ISSUES,PENDING,agent1,leg-00,false
claim-31,2025/01/01 00:00,mike.brown@example.com,"<marquee>Hacked</marquee>",SECURITY_INCIDENT,PENDING,agent2,leg-02,true
claim-32,2025/01/01 00:00,lucy.green@example.com,"<script>alert(‘Hacked!’);</script>",OTHER_ISSUES,PENDING,agent2,leg-01,true
claim-33,2014/09/23 08:00,lucy.green@example.com,"' or 'A' = 'A ",OTHER_ISSUES,PENDING,agent2,leg-01,true
claim-34,2001/01/01 00:00,a@b.es,"Seat was broken; not functional",SECURITY_INCIDENT,PENDING,agent1,leg-02,true
