key,key:customer,fullName,email,passportNumber,dateOfBirth,draftMode,specialNeeds
#base-example
passenger-01,customer-01,"Lorem ipsum dolor sit amet, consect etur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",acme@lorem-ipsum.org,FKJZAG0XM,2012/07/02 00:00,true,"Lorem ipsum dolor sit ame"
#fullname-examples
passenger-02,customer-01,"Lorem ipsum dolor sit amet, consect etur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",acme@lorem-ipsum.org,FKJZAG0XM,2012/07/02 00:00,true,"Lorem ipsum dolor sit ame"
passenger-03,customer-01,"L",acme@lorem-ipsum.org,FKJZAG0XM,2012/07/02 00:00,true,"Lorem ipsum dolor sit ame"
passenger-04,customer-01,"Lo",acme@lorem-ipsum.org,FKJZAG0XM,2012/07/02 00:00,true,"Lorem ipsum dolor sit ame"
passenger-05,customer-01,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor",acme@lorem-ipsum.org,FKJZAG0XM,2012/07/02 00:00,true,"Lorem ipsum dolor sit ame"
passenger-06,customer-01,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*",acme@lorem-ipsum.org,FKJZAG0XM,2012/07/02 00:00,true,"Lorem ipsum dolor sit ame"
passenger-07,customer-02,"โลเร็ม อิปซัม",acme@lorem-ipsum.org,FKJZAG0XM,2012/07/02 00:00,true,"Lorem ipsum dolor sit ame"
passenger-08,customer-02,"لوريم إيبسوم",acme@lorem-ipsum.org,FKJZAG0XM,2012/07/02 00:00,true,"Lorem ipsum dolor sit ame"
passenger-09,customer-02,"洛伦·伊普森",acme@lorem-ipsum.org,FKJZAG0XM,2012/07/02 00:00,true,"Lorem ipsum dolor sit ame"
passenger-10,customer-02,"<marquee>Hacked</marquee>",acme@lorem-ipsum.org,FKJZAG0XM,2012/07/02 00:00,true,"Lorem ipsum dolor sit ame"
passenger-11,customer-02,"<script>alert(‘Hacked!’);</script>",acme@lorem-ipsum.org,FKJZAG0XM,2012/07/02 00:00,true,"Lorem ipsum dolor sit ame"
passenger-12,customer-01,"' or 'A' = 'A ",acme@lorem-ipsum.org,FKJZAG0XM,2012/07/02 00:00,true,"Lorem ipsum dolor sit ame"
#email-examples
