key,enabled,identity,password,username
user-account-consumer-01,true,"UserIdentity{name: 'Peter', surname: 'Consumer', email: 'peter@acme.com'}",consumer1,consumer1
user-account-consumer-02,true,"UserIdentity{name: 'Mary', surname: '貸んい建濯よ芝弾テソ Λορεμ ιπσθμ', email: 'mary@acme.com'}",consumer2,consumer2
user-account-consumer-03,true,"UserIdentity{name: 'Manolo', surname: '之乎路可良 ᏥᏲᏎᎭ', email: 'manolo@acme.com'}",consumer3,consumer3
user-account-provider-01,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",provider1,provider1
user-account-provider-02,true,"UserIdentity{name: 'Martina', surname: 'коза თხა', email: 'martina@acme.com'}",provider2,provider2
user-account-provider-03,true,"UserIdentity{name: 'Antonia', surname: 'אבטיח Æløzå', email: 'antonia@acme.com'}",provider3,provider3
user-account-customer-01,true,"UserIdentity{name: 'Customer1', surname: 'customer1', email: 'customer1@acme.com'}",customer1,customer1
user-account-customer-02,true,"UserIdentity{name: 'Customer2', surname: 'customer2', email: 'customer2@acme.com'}",customer2,customer2
user-account-customer-03,true,"UserIdentity{name: 'Customer3', surname: 'customer3', email: 'customer3@acme.com'}",customer3,customer3
user-account-agent-01,true,"UserIdentity{name: 'Agent1', surname: 'Assistance', email: 'agent1@acme.com'}",agent1,agent1
user-account-agent-02,true,"UserIdentity{name: 'Agent2', surname: 'Assistance', email: 'agent2@acme.com'}",agent2,agent2
user-account-agent-03,true,"UserIdentity{name: 'Agent3', surname: 'Assistance', email: 'agent3@acme.com'}",agent3,agent3
user-account-manager-01,true,"UserIdentity{name: 'Manager1', surname: 'Manager1', email: 'manager1@acme.com'}",manager1,manager1
user-account-manager-02,true,"UserIdentity{name: 'Manager2', surname: 'Manager2', email: 'manager2@acme.com'}",manager2,manager2
user-account-manager-03,true,"UserIdentity{name: 'Manager3', surname: 'Manager3', email: 'manager3@acme.com'}",manager3,manager3
# Technician
user-account-technician-01,true,"UserIdentity{name: 'Mario', surname: 'Reyes', email: 'technician1@acme.com'}",technician1,technician1
user-account-technician-02,true,"UserIdentity{name: 'Elena', surname: 'Hernandez', email: 'technician2@acme.com'}",technician2,technician2
user-account-technician-03,true,"UserIdentity{name: 'Jaime', surname: 'Reyes', email: 'technician3@acme.com'}",technician3,technician3
# Data for Role variations
user-account-technician-04,true,"UserIdentity{name: 'Aonsumer', surname: 'Bonsurname', email: 'technician@acme.com'}",technicianV01,technicianV01
user-account-technician-05,true,"UserIdentity{name: 'Aonsumer', surname: 'Aonsurname', email: 'technician@acme.com'}",technicianV02,technicianV02
